# r Xi(r) Xi(r)-ShotNoise
# z = 1
0.000000000000000000e+00 6.960109252929687500e+02 -3.315161065116905374e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -1.099578539530436272e+00 -3.322132170155230560e+05
nan nan nan
nan nan nan
nan nan nan
2.014170727019614446e+02 -2.276605748115701888e-03 -3.322121197135892580e+05
2.026249318276682345e+02 8.836724104419831083e-03 -3.322121086002594093e+05
2.034945858023260996e+02 -6.358945661569943538e-04 -3.322121180728780455e+05
2.044189695700621030e+02 -5.607852568993201489e-03 -3.322121230448361021e+05
2.053608460008052248e+02 -1.161131872768290593e-02 -3.322121290483022458e+05
2.065998224718817369e+02 4.927980831299705496e-03 -3.322121125090026762e+05
2.075654153534860313e+02 -7.334657841258578710e-04 -3.322121181704492774e+05
2.084660656047317104e+02 1.188609884969843260e-02 -3.322121055508846766e+05
2.095242097106161054e+02 -4.612055005906503038e-03 -3.322121220490385313e+05
2.105422444848970258e+02 1.548392798310966809e-03 -3.322121158885906916e+05
2.114661456168965969e+02 9.415690780531430285e-03 -3.322121080212927191e+05
2.124202476034359108e+02 -8.724122631306551259e-03 -3.322121261611061636e+05
2.135753941391453736e+02 8.710049619578351388e-03 -3.322121087269338896e+05
2.146521814858041068e+02 5.649521098873479946e-03 -3.322121117874624324e+05
2.154481211817541748e+02 9.121226709942484648e-03 -3.322121083157567773e+05
2.165216897601730182e+02 7.069879514308063419e-03 -3.322121103671040037e+05
2.174906394264914695e+02 1.517153689355561167e-03 -3.322121159198298119e+05
2.184117213893581209e+02 -1.615720353684983734e-02 -3.322121335941870348e+05
2.193989556495179443e+02 -7.706516177941721314e-03 -3.322121251434996957e+05
2.203851410461975604e+02 3.206709080988222175e-04 -3.322121171163126128e+05
2.214335474814137967e+02 9.561655341937977349e-04 -3.322121164808179601e+05
2.224289232674291554e+02 9.355798952997066917e-03 -3.322121080811845604e+05
2.236509609535092125e+02 -9.298546066701086910e-03 -3.322121267355295713e+05
2.245497840245564873e+02 -8.655134588479995728e-04 -3.322121183024969650e+05
2.255346449248644660e+02 -1.358360335940406519e-02 -3.322121310205868795e+05
2.264980791319219691e+02 2.588098736830531967e-03 -3.322121148488847539e+05
2.274641145070393975e+02 5.849669928903932989e-03 -3.322121115873135859e+05
2.285286729079026316e+02 2.414775964541312787e-03 -3.322121150222075521e+05
2.296607592773437432e+02 3.590885798136393171e-03 -3.322121138460977236e+05
2.305179999705111129e+02 3.187766235865903495e-03 -3.322121142492172658e+05
2.315208994547525947e+02 4.511012750513413577e-03 -3.322121129259707523e+05
2.324233898515460908e+02 5.657693585093949949e-03 -3.322121117792899022e+05
2.334571411650059645e+02 4.890648995415638849e-03 -3.322121125463345088e+05
2.344443332248263800e+02 -1.060186227162678929e-03 -3.322121184971697512e+05
2.353703507643479611e+02 1.648271511762570279e-02 -3.322121009542683605e+05
2.364569190392127496e+02 1.913320834820086969e-02 -3.322120983037751867e+05
2.374635146291632282e+02 3.947851602097003816e-03 -3.322121134891319089e+05
2.384031639099121094e+02 1.572420044491688483e-03 -3.322121158645634423e+05
2.394203731652462182e+02 -6.680461493405428879e-03 -3.322121241174450261e+05
2.404792426476111871e+02 -4.209689299265543735e-03 -3.322121216466727783e+05
2.413864668412641947e+02 1.097040736314022205e-03 -3.322121163399427896e+05
2.425373248183936425e+02 -7.089357766491628104e-03 -3.322121245263412711e+05
2.434888810992538311e+02 -1.053202954908261622e-02 -3.322121279690130614e+05
2.444679120381673272e+02 -2.598585850662655378e-03 -3.322121200355693582e+05
2.454801962716238961e+02 3.242935926195174984e-03 -3.322121141940475791e+05
2.464987053504356993e+02 9.284863869349161206e-03 -3.322121081521196174e+05
2.473976607549758171e+02 2.565168514453544917e-03 -3.322121148718149634e+05
2.484805011171283127e+02 2.566774686177571759e-03 -3.322121148702088394e+05
2.494118170254472489e+02 -4.251128881449860544e-04 -3.322121178620964056e+05
2.504006964172979792e+02 -1.043932807164561554e-03 -3.322121184809163096e+05
2.513939076085244437e+02 4.012639163642800835e-03 -3.322121134243443375e+05
2.524095937650497774e+02 9.942136398733479249e-03 -3.322121074948470923e+05
2.533792667877979738e+02 -1.101672267302488675e-03 -3.322121185386557481e+05
2.545175102957843762e+02 -4.733013773196515167e-04 -3.322121179102848982e+05
2.554561501639229846e+02 -1.156797863188244006e-02 -3.322121290049621603e+05
2.564561030690263124e+02 -2.380908504734194266e-03 -3.322121198178920313e+05
2.575386793301883017e+02 4.840440894419421880e-03 -3.322121125965426327e+05
2.585327795119512757e+02 3.800857634771438037e-03 -3.322121136361258687e+05
2.595786192732858808e+02 -2.630283299102086601e-03 -3.322121200672668056e+05
2.604506892451533417e+02 -2.341585854689280047e-03 -3.322121197785693803e+05
2.615144723962854414e+02 1.133540714228594738e-02 -3.322121061015763553e+05
2.624965137134898896e+02 -2.734829079021107185e-03 -3.322121201718125958e+05
2.635255469912574426e+02 -6.406122162228538967e-03 -3.322121238431056845e+05
2.644906704271610920e+02 1.016077191675480388e-03 -3.322121164209063281e+05
2.655399697684612192e+02 -1.001452455426206627e-03 -3.322121184384359512e+05
2.664191862339711747e+02 1.371861308938843345e-02 -3.322121037183704320e+05
2.674076832616052002e+02 6.098691345185272561e-03 -3.322121113382921321e+05
2.684499176703558874e+02 1.255791584650675554e-03 -3.322121161811919301e+05
2.695208270566683382e+02 -1.193375346508431965e-03 -3.322121186303588329e+05
2.705131060352641725e+02 8.671084161621430558e-03 -3.322121087658993201e+05
2.714936152564154668e+02 7.069694499174753463e-04 -3.322121167300140369e+05
2.725843284243629228e+02 -5.195152664941454952e-03 -3.322121226321361610e+05
2.736262232978562565e+02 -2.796851955174247794e-03 -3.322121202338354778e+05
2.746037735122818049e+02 -4.910073301813623614e-03 -3.322121223470568075e+05
2.754490616923631023e+02 -1.013508273495568194e-03 -3.322121184504918056e+05
2.764786747349886582e+02 -4.089136823322594289e-03 -3.322121215261203470e+05
2.775759472969251078e+02 -2.862715895795996893e-03 -3.322121202996994252e+05
2.785865678333100846e+02 -1.794124997797466418e-03 -3.322121192311085179e+05
2.795507088276877425e+02 -3.638894996832852530e-03 -3.322121210758785019e+05
2.804542117648654767e+02 5.980583915004024191e-03 -3.322121114563996089e+05
2.815386444178249121e+02 3.960272182936483702e-04 -3.322121170409562765e+05
2.824487499558782133e+02 4.456365443616506702e-03 -3.322121129806180834e+05
2.834192778942631890e+02 -5.600333213806152344e-03 -3.322121230373167200e+05
2.844554395024080691e+02 5.669863697904977545e-03 -3.322121117671197862e+05
2.854407866272745196e+02 8.522944108343324943e-03 -3.322121089140393888e+05
2.865562409431703372e+02 -2.276554543484923809e-03 -3.322121197135380353e+05
2.874655717778252892e+02 6.545402359445184849e-04 -3.322121167824432487e+05
2.884564674660011292e+02 -5.589184054621943766e-03 -3.322121230261675664e+05
